Station,Latitude,Longitude
108,71.21164,-149.433327
109,71.190349,-149.453088
109,71.190386,-149.453178
110,71.167852,-149.46878
110,71.167847,-149.468767
111,71.124616,-149.499274
111,71.125416,-149.500148
92,71.047575,-150.403493
92,71.04757,-150.403476
112,71.080352,-149.527857
112,71.081132,-149.528697
113,71.038263,-149.564391
113,71.040036,-149.566381
114,70.992284,-149.593726
114,70.993123,-149.594625
115,70.945363,-149.625883
115,70.946115,-149.62654
116,70.914172,-149.220008
116,70.91434,-149.220144
NaN,71.323562,-148.967527
117,70.958194,-149.186779
117,70.958964,-149.187527
118,71.004033,-149.155179
118,71.004159,-149.155327
119,71.048309,-149.123353
119,71.048599,-149.123755
120,71.092765,-149.091541
120,71.092857,-149.091636
121,71.13787,-149.059073
121,71.138168,-149.059457
122,71.18203,-149.028261
122,71.18218,-149.028399
123,71.204125,-149.010401
123,71.205251,-149.011971
124,71.226263,-148.994545
124,71.227274,-148.99545
125,71.271425,-148.962756
125,71.273256,-148.963768
126,71.315181,-148.930432
126,71.317872,-148.932073
129,71.286511,-149.813441
129,71.287674,-149.815115
128,71.329357,-149.811433
128,71.334785,-149.794891
128,71.337158,-149.787875
128,71.339429,-149.780994
127,71.376116,-149.753109
127,71.37731,-149.753674
128,71.332615,-149.783746
128,71.3353,-149.78895
130,71.24126,-149.844067
130,71.242204,-149.845688
131,71.219628,-149.861667
131,71.220107,-149.8616
131,71.216893,-149.876771
131,71.220423,-149.861385
131,71.223024,-149.850429
131,71.22458,-149.844118
132,71.198573,-149.874045
132,71.198893,-149.87485
133,71.154511,-149.907272
133,71.154354,-149.906999
134,71.109383,-149.938164
134,71.110361,-149.939882
131,71.218406,-149.871443
131,71.22352,-149.848251
133,71.150791,-149.928108
133,71.153942,-149.917489
133,71.15531,-149.912532
133,71.156584,-149.907093
133,71.157384,-149.903055
133,71.157737,-149.901443
135,71.065028,-149.966251
135,71.065661,-149.967447
136,71.019336,-149.998086
136,71.019477,-149.998384
137,70.973662,-150.030337
137,70.974012,-150.031109
135,70.991325,-149.63611
135,70.992284,-149.593726
135,71.065509,-149.967599
135,71.067594,-149.976884
137,70.97139,-150.045151
137,70.975072,-150.023785
137,70.971448,-150.048211
137,70.974918,-150.026196
138,71.057283,-151.262706
138,71.059382,-151.253297
NaN,71.385621,-151.022915
138,71.061375,-151.241572
138,71.061368,-151.241574
139,71.10655,-151.213688
139,71.106548,-151.213678
140,71.151999,-151.184781
140,71.151998,-151.184804
140,71.148021,-151.204854
141,71.197521,-151.156423
140,71.150873,-151.193735
142,71.243239,-151.156974
142,71.245092,-151.142401
144,71.311186,-151.110752
141,71.197516,-151.156432
144,71.312971,-151.090229
142,71.242881,-151.128621
144,71.310319,-151.110083
142,71.243244,-151.129287
144,71.310768,-151.091662
143,71.287813,-151.100519
143,71.288092,-151.100323
146,71.380012,-151.067545
144,71.310753,-151.086445
146,71.382385,-151.030362
144,71.310912,-151.086398
145,71.333468,-151.072521
145,71.333461,-151.072513
146,71.378701,-151.044579
146,71.379669,-151.04409
140,71.149108,-151.200858
140,71.150244,-151.196217
142,71.244041,-151.150883
142,71.244519,-151.146943
144,71.311874,-151.103483
144,71.312504,-151.095771
146,71.381224,-151.049121
146,71.381779,-151.039777
146,71.416585,-151.115809
146,71.406431,-151.062883
146,71.392269,-151.000883
146,71.381762,-150.957814
147,71.195966,-148.723692
147,71.195966,-148.723718
148,71.203974,-148.799404
148,71.203971,-148.799423
149,71.25812,-148.737425
149,71.258644,-148.736624
149,71.258126,-148.93482
149,71.257949,-148.877426
149,71.257739,-148.799637
149,71.258357,-148.727745
149,71.26016,-148.756499
149,71.258378,-148.742241
149,71.259307,-148.749962
149,71.258666,-148.745231
151,71.206417,-149.034811
151,71.205647,-149.02012
151,71.205436,-149.013173
151,71.205236,-149.006814
151,71.205396,-149.034314
151,71.205351,-149.0215
151,71.205303,-149.014248
151,71.205174,-149.007935
154,71.093261,-149.110598
154,71.092402,-149.095644
154,71.091753,-149.086635
154,71.09129,-149.080773
156,71.002612,-149.135708
156,71.003211,-149.150838
150,71.227041,-148.993538
150,71.228108,-148.999165
151,71.204857,-149.008356
151,71.205154,-149.009933
152,71.182275,-149.026414
152,71.182284,-149.026424
153,71.137705,-149.058641
153,71.137714,-149.058643
154,71.092952,-149.091469
154,71.09296,-149.09146
155,71.048513,-149.123866
155,71.048521,-149.123863
156,71.003748,-149.156265
156,71.00384,-149.156268
157,70.959539,-149.188095
157,70.959542,-149.188086
158,70.915034,-149.22102
158,70.915034,-149.221022
,70.946268,-149.622692
,71.195709,-149.446809
159,71.167527,-149.464963
159,71.167531,-149.464952
160,71.190108,-149.449699
160,71.190111,-149.449692
161,71.212841,-149.435278
161,71.212842,-149.435288
162,71.25755,-149.403311
162,71.257543,-149.403314
163,71.302029,-149.373322
163,71.302025,-149.373296
158,70.915066,-149.201194
158,70.914379,-149.224652
162,71.257692,-149.445819
162,71.258058,-149.376872
162,71.259335,-149.254991
162,71.262824,-149.168332
164,71.215694,-149.199045
164,71.218629,-149.245047
164,71.2245,-149.331965
164,71.228259,-149.375777
164,71.220706,-149.273142
164,71.220919,-149.272766
,71.222579,-149.28263
,71.223429,-149.413007
,71.223811,-149.421441
,71.207859,-148.815443
165,71.29907,-150.521297
165,71.297096,-150.573225
165,71.294657,-150.658278
165,71.293997,-150.726426
165,71.295837,-150.610415
165,71.295833,-150.610414
165,71.295828,-150.610429
165,71.295832,-150.610426
165,71.295928,-150.61427
165,71.294978,-150.641804
165,71.294606,-150.654046
165,71.294414,-150.664195
NaN,71.288133,-150.877468
166,71.541757,-151.962543
166,71.534395,-151.935867
168,71.409708,-152.078475
168,71.40714,-152.060964
171,71.211951,-152.241239
171,71.211322,-152.224866
172,71.367712,-152.361936
172,71.367271,-152.371342
172,71.36712,-152.374769
172,71.366743,-152.382182
174,71.40252,-152.456597
174,71.402982,-152.467363
174,71.40317,-152.473487
174,71.403435,-152.488517
176,71.44209,-152.566729
176,71.442085,-152.566731
176,71.440507,-152.543969
176,71.441458,-152.559284
176,71.442196,-152.570705
174,71.402357,-152.45625
174,71.403666,-152.473246
174,71.40472,-152.485989
174,71.405756,-152.499748
177,71.34976,-152.699624
177,71.349762,-152.69962
178,71.355146,-152.716985
178,71.365957,-152.717043
179,71.38297,-152.726154
179,71.382976,-152.72613
180,71.399924,-152.739004
180,71.399928,-152.73901
181,71.416304,-152.750547
181,71.416314,-152.750509
179,71.381765,-152.717077
179,71.383523,-152.73574
179,71.3847,-152.74621
179,71.386044,-152.756553
176,71.44259,-152.581592
177,71.349501,-152.689157
177,71.349473,-152.699014
177,71.349492,-152.703006
177,71.349552,-152.711035
179,71.386044,-152.756553
180,71.400584,-152.738701
180,71.397854,-152.742176
180,71.397435,-152.750582
180,71.396828,-152.762812
24,71.227998,-150.286008
48,71.078755,-150.807541
54,71.378359,-151.04494
57,71.288052,-151.100645
166,71.537339,-151.948342
166,71.537339,-151.948323
167,71.471758,-152.002736
167,71.471755,-152.002715
168,71.406344,-152.05766
168,71.406343,-152.057688
169,71.341002,-152.109951
169,71.341005,-152.109923
170,71.275744,-152.163722
170,71.275755,-152.16367
171,71.210673,-152.217867
171,71.210678,-152.217823
172,71.366552,-152.383528
172,71.366549,-152.383511
173,71.386094,-152.428758
173,71.386091,-152.428773
174,71.403795,-152.475093
174,71.403801,-152.475088
175,71.422893,-152.521336
39,71.336288,-151.086558
39,71.337078,-151.08191
39,71.33759,-151.078993
NaN,71.677871,-152.505296
NaN,71.684696,-152.496248
182,71.653861,-152.483496
182,71.659273,-152.496644
182,71.664962,-152.51065
182,71.66225,-152.504178
182,71.677228,-152.548892
182,71.664463,-152.504391
182,71.659071,-152.487393
182,71.643807,-152.437594
182,71.6757,-152.543564
182,71.662921,-152.500635
182,71.648969,-152.451482
182,71.636016,-152.4126
183,71.80827,-153.196393
183,71.808272,-153.196381
183,71.802587,-153.181658
183,71.809471,-153.198376
183,71.811907,-153.203967
183,71.81524,-153.210927
183,71.803497,-153.18276
183,71.810303,-153.199045
183,71.8141,-153.20776
183,71.817634,-153.216063
,71.804901,-153.440707
91,71.093606,-150.384653
NaN,72.027106,-155.041966
183,71.798376,-153.128638
183,71.805129,-153.178002
183,71.817314,-153.241301
183,71.826673,-153.289677
184,69.784005,-165.769112
184,69.784415,-165.771426
184,69.784583,-165.772221
184,69.784783,-165.771933
184,69.784951,-165.771664
184,69.785066,-165.771495
3,71.266856,-150.69501
147,71.194128,-148.723621
148,71.205247,-148.800037
182,71.658136,-152.485827
182,71.658138,-152.485803
,71.640045,-152.450435
,71.684696,-152.496248
,71.575119,-153.253906
,71.580155,-153.195583
,71.643013,-153.183679
,71.799395,-153.1384
,71.816982,-153.239677
,71.807612,-153.197008
,71.712591,-153.436202
,71.804901,-153.440707
,71.824145,-153.552654
,71.818758,-153.746383
,71.734884,-154.02972
,71.877195,-158.449335
,71.711201,-159.222649
,71.432643,-160.500501
,70.66355,-163.10071
,69.036429,-167.64625
,68.040856,-168.34618
,65.993061,-168.47473
,64.982803,-167.473366
,67.198612,-168.399212
,67.521111,-168.371229
,67.817948,-168.358943
,68.513827,-168.253373
,64.520676,-166.757929
NaN,64.439646,-165.657727
NaN,64.440346,-165.654432
NaN,64.440866,-165.652561
NaN,NaN,NaN
NaN,NaN,NaN
NaN,64.476057,-165.474752
NaN,64.477208,-165.46924
NaN,64.49397,-165.437844
