Salinity (PSU)
26.6
27.8
28.3
28.7
29.5
29.2
27.3
27.9
29
28.8
28.2
28.1
28.3
29.1
29.5
27.3
28.1
28.6
29.3
29.2
26.6
27.1
28.5
28.8
29.8
25.2
25.4
27.5
29.4
29.7
27.8
28.9
29.2
29.2
28.4
28
28.2
28.9
29.1
30.4
29.7
29.3
27.9
27.6
